Blaze Bayley,The Night That Will Not Die,2009-11-2,The 11th Hour,Burden of Grief,2009-11-2,0
Blaze Bayley,Promise and Terror,2010-1-26,Sigh,Scenes From Hell,2010-1-26,0
Textures,Dualism,2011-9-20,Anubis Gate,Anubis Gate,2011-9-20,0
Revocation,Revocation,2013-10-17,Gorguts,Colored Sands,2013-10-17,0
As Light Dies,The Love Album – Volume I,2014-9-25,Alunah,Awakening The Forest,2014-9-25,0
Madmans Esprit,Nacht,2014-10-5,Godflesh,A World Lit Only By Fire,2014-10-5,0
Anaal Nathrakh,Desideratum,2014-10-11,Horrendous,Ecdysis,2014-10-11,0
Oceanwake,Sunless,2015-3-18,Ketha,#​!​%​16​.​7,2015-3-18,0
Royal Thunder,Crooked Doors,2015-4-8,Sulphur Aeon,Gateway to the Antisphere,2015-4-8,0
Symphony X,Underworld,2015-7-26,Cattle Decapitation,The Anthropocene Extinction,2015-7-26,0
Gorod,A Maze of Recycled Creeds,2015-10-5,He Whose Ox Is Gored,"The Camel, The Lion, The Child",2015-10-5,0
The Black Dahlia Murder,Abysmal,2015-10-12,Pseudo/Sentai,Bansheeface,2015-10-12,0
Avatarium,The Girl With the Raven Mask,2015-10-29,Beaten to Death,Unplugged,2015-10-29,0
Voivod,Post Society EP,2016-2-27,Inverloch,Distance | Collapsed,2016-2-27,0
Messa,Belfry,2016-4-21,Plebeian Grandstand,"False Highs, True Lows",2016-4-21,0
Morrow,Covenant of Teeth,2016-8-31,Uada,Devoid of Light,2016-8-31,0
The Reticent,On the Eve of a Goodbye,2016-10-5,Mercyless,Pathetic Divinity,2016-10-5,0
Candiria,While They Were Sleeping,2016-10-6,Northern Crown,The Others,2016-10-6,0
Crimson Moon,Oneironaut,2016-12-8,Zao,The Well-Intentioned Virus,2016-12-8,0
Pain of Salvation,In the Passing Light of Day,2017-1-22,Hour of Penance,Cast The First Stone,2017-1-22,0
Nailed to Obscurity,King Delusion,2017-1-26,Kairon; IRSE!,Ruination,2017-1-26,0
Benighted,Necrobreed,2017-2-6,Witherfall,Nocturnes and Requiems,2017-2-6,0
Junius,Eternal Rituals for the Accretion of Light,2017-3-6,Cellador,Off the Grid,2017-3-6,0
Demonic Resurrection,Dashavatar,2017-3-19,Pallbearer,Heartless,2017-3-19,0
Ghost Bath,Starmourner,2017-4-25,Galley Beggar,Heathen Hymns,2017-4-25,0
Father Befouled,Desolate Gods,2017-6-21,Dying Fetus,Wrong One to Fuck With,2017-6-21,0
Hällas,Excerpts from a Future Past,2017-10-5,The Black Dahlia Murder,Nightbringers,2017-10-5,0
Heidevolk,Vuur van Verzet,2018-1-22,Tribulation,Down Below,2018-1-22,0
Eryn Non Dae.,Abandon of the Self,2018-3-11,Angra,ØMNI,2018-3-11,0
The Crown,Cobra Speed Venom,2018-3-22,Necrophobic,Mark of the Necrogram,2018-3-22,0
RÛR,RÛR,2018-3-28,Barren Earth,A Complex of Cages,2018-3-28,0
Augury,Illusive Golden Age,2018-3-29,Morrow,Fallow,2018-3-29,0
Kataklysm,Meditations,2018-6-3,YOB,Our Raw Heart,2018-6-3,0
The Ocean,Phanerozoic I: Palaeozoic,2018-10-28,Arsis,Visitant,2018-10-28,0
Cripple Bastards,La Fine Cresce da Dentro,2018-11-8,Dire Peril,The Extraterrestrial Compendium,2018-11-8,0
Soulmass,The Weakness of Virtue,2019-1-24,Altarage,The Approaching Roar,2019-1-24,0
Source,Totality,2019-3-3,Misery Index,Rituals of Power,2019-3-3,0
Equipoise,Demiurgus,2019-3-7,Thormesis,The Sixth,2019-3-7,0
Dead to a Dying World,Elegy,2019-4-18,Black Sites,Exile,2019-4-18,0
Glassing,Spotted Horse,2019-5-16,Paladin,Ascension,2019-5-16,0
Mizmor,Cairn,2019-9-10,Nightfell,A Sanity Deranged,2019-9-10,0
Graveyard,Hold Back the Dawn,2019-9-18,Cult of Sorrow,Invocation of the Lucifer,2019-9-18,0
No One Knows What the Dead Think,No One Knows What the Dead Think,2019-9-19,Exhorder,Mourn the Southern Skies,2019-9-19,0
Wilderun,Veil of Imagination,2019-10-30,Wilderun,Veil of Imagination,2019-10-30,0
Rosk,remnants,2019-11-7,Second to Sun,Legacy,2019-11-7,0
Black Royal,Firebride,2020-3-1,Vredehammer,Viperous,2020-3-1,0
Foetal Juice,Gluttony,2020-6-10,Valdrin,Effigy of Nightmares,2020-6-10,0
Manticora,To Live to Kill to Live,2020-8-27,Panzerfaust,The Suns of Perdition – Chapter II: Render unto Eden,2020-8-27,0
Enforced,Kill Grid,2021-3-11,Stortregn,Impermanence,2021-3-11,0
Stortregn,Impermanence,2021-3-11,Pupil Slicer,Mirrors,2021-3-11,0
Glassing,Twin Dream,2021-11-3,Diablo Swing Orchestra,Swagger & Stroll Down the Rabbit Hole,2021-11-3,0
Mortiferum,Preserved in Torment,2021-11-4,Churchburn,Genocidal Rite,2021-11-4,0
Churchburn,Genocidal Rite,2021-11-4,Mystras,Empires Vanquished and Dismantled,2021-11-4,0
The Temple,The Temple,2021-11-19,Stormkeep,Tales of Othertime,2021-11-19,0
Pillaging Villagers,Pillaging Villagers,2022-3-10,In Aphelion,Moribund,2022-3-10,0
Grand Harvest,Consummatum Est,2022-3-24,Kvaen,The Great Below,2022-3-24,0
Riverside,Anno Domini High Definition,2009-6-29,Black Sun Aeon,Darkness Walks Beside Me,2009-6-30,1
Arkona,"Goi, Rode Goi!",2009-11-1,Blaze Bayley,The Night That Will Not Die,2009-11-2,1
Bison B.C.,Dark Ages,2010-4-8,The Ocean,Heliocentric,2010-4-9,1
1349,Demonoir,2010-4-22,Skyforger,Kurbads,2010-4-23,1
Avantasia,The Wicked Symphony,2010-4-25,Steelwing,Lord of the Wasteland,2010-4-26,1
Ragnarok,Collectors of the King,2010-5-17,Nevermore,The Obsidian Conspiracy,2010-5-18,1
Nevermore,The Obsidian Conspiracy,2010-5-18,Stormzone,Death Dealer,2010-5-19,1
Stormzone,Death Dealer,2010-5-19,Anathema,We’re Here Because We’re Here,2010-5-20,1
Watain,Lawless Darkness,2010-6-2,Istapp,Blekinge,2010-6-3,1
Winterhorde,Underwatermoon,2010-9-14,Spiritual Beggars,Return to Zero,2010-9-15,1
Spiritual Beggars,Return to Zero,2010-9-15,Enslaved,Axioma Ethica Odini,2010-9-16,1
Star One,Victims of the Modern Age,2010-10-13,Monster Magnet,Mastermind,2010-10-14,1
October Tide,A Thin Shell,2010-11-1,Allen/Lande,The Showdown,2010-11-2,1
Macabre,Grim Scary Tales,2011-2-2,Omnium Gatherum,New World Shadows,2011-2-3,1
Svart Crown,Witnessing the Fall,2011-2-8,Shroud of Despondency,Dark Meditations in Monastic Seclusion,2011-2-9,1
Shroud of Despondency,Dark Meditations in Monastic Seclusion,2011-2-9,Moonsorrow,Varjoina Kuljemme Kuolleiden Maassa,2011-2-10,1
Destruction,Day of Reckoning,2011-2-16,Turisas,Stand Up and Fight,2011-2-17,1
Crimfall,The Writ of Sword,2011-3-8,Sylosis,Edge of the Earth,2011-3-9,1
Sylosis,Edge of the Earth,2011-3-9,Assaulter,Boundless,2011-3-10,1
Within Temptation,The Unforgiving,2011-3-19,Havok,Time is Up,2011-3-20,1
Argus,Boldly Stride the Doomed,2011-5-2,Bodyfarm,Bodyfarm EP,2011-5-3,1
Falconer,Armod,2011-5-31,In Solitude,The World. The Flesh. The Devil.,2011-6-1,1
In Solitude,The World. The Flesh. The Devil.,2011-6-1,Loss,Despond,2011-6-2,1
Toxic Holocaust,Conjure and Command,2011-7-20,Aurvandil,Yearning,2011-7-21,1
Absu,Abzu,2011-10-30,Entrails,The Tomb Awaits,2011-10-31,1
Entrails,The Tomb Awaits,2011-10-31,40 Watt Sun,The Inside Room,2011-11-1,1
40 Watt Sun,The Inside Room,2011-11-1,Hammers of Misfortune,17th Street,2011-11-2,1
Vallenfyre,A Fragile King,2011-12-5,Cormorant,Dwellings,2011-12-6,1
Cormorant,Dwellings,2011-12-6,Theocracy,As The World Bleeds,2011-12-7,1
The 11th Hour,Lacrima Mortis,2012-1-15,Zebulon Pike,Space is the Corpse of Time,2012-1-16,1
Desaster,The Arts of Destruction,2012-3-4,Sigh,In Somniphobia,2012-3-5,1
Be’lakor,Of Breath and Bone,2012-6-17,Luca Turilli’s Rhapsody,Ascending to Infinity,2012-6-18,1
Vindicator,United We Fall,2012-7-8,Zombiefication,Reaper’s Consecration,2012-7-9,1
Father Befouled,Revulsion of Seraphic Grace,2012-7-20,Castle,Blacklands,2012-7-21,1
Necrovation,Necrovation,2012-8-6,Sophicide,Perdition of the Sublime,2012-8-7,1
Krampus,Survival of the Fittest,2012-8-18,Trollfest,Brumlebassen,2012-8-19,1
Reverence,The Asthenic Ascension,2012-8-28,Threshold,March of Progress,2012-8-29,1
Threshold,March of Progress,2012-8-29,Lustre,They Awoke to the Scent of Spring,2012-8-30,1
Anaal Nathrakh,Vanitas,2012-10-15,Weapon,Embers and Revelations,2012-10-16,1
Weapon,Embers and Revelations,2012-10-16,Beneath,Enslaved by Fear,2012-10-17,1
