Band,Album,Date Published,Nerd Date
Amorphis,Skyforger,2009-5-27,3452457600
Fejd,Storm,2009-5-29,3452630400
Riverside,Anno Domini High Definition,2009-6-29,3455308800
Black Sun Aeon,Darkness Walks Beside Me,2009-6-30,3455395200
Shining,VI/Klagopsalmer,2009-7-24,3457468800
Sonata Arctica,The Days of Grays,2009-8-4,3458419200
Cormorant,Metazoa,2009-9-18,3462307200
Scar Symmetry,Dark Matter Dimensions,2009-9-28,3463171200
Arkona,"Goi, Rode Goi!",2009-11-1,3466108800
Blaze Bayley,The Night That Will Not Die,2009-11-2,3466195200
The 11th Hour,Burden of Grief,2009-11-2,3466195200
Månegarm,Nattväsen,2009-11-4,3466368000
Be’lakor,Stone’s Reach,2009-12-7,3469219200
Orphaned Land,The Never Ending Way of ORwarriOR,2010-1-7,3471897600
Dream Evil,In the Night,2010-1-19,3472934400
Overkill,Ironbound,2010-1-23,3473280000
Blaze Bayley,Promise and Terror,2010-1-26,3473539200
Sigh,Scenes From Hell,2010-1-26,3473539200
Finntroll,Nifelvind,2010-1-28,3473712000
Oskoreien,Illusions,2010-2-23,3475958400
Immolation,Majesty and Decay,2010-3-5,3476822400
Kaipa,In the Wake of Evolution,2010-3-9,3477168000
Eternal Silence,The Arsonist,2010-3-15,3477686400
Svartsot,Mulmets Viser,2010-3-17,3477859200
Heidevolk,Uit Oude Grond,2010-3-21,3478204800
The Dillinger Escape Plan,Option Paralysis,2010-3-24,3478464000
Barren Earth,Curse of the Red River,2010-3-30,3478982400
Bison B.C.,Dark Ages,2010-4-8,3479760000
The Ocean,Heliocentric,2010-4-9,3479846400
Rhapsody of Fire,The Frozen Tears of Angels,2010-4-15,3480364800
Triptykon,Eparistera Daimones,2010-4-20,3480796800
1349,Demonoir,2010-4-22,3480969600
Skyforger,Kurbads,2010-4-23,3481056000
Avantasia,The Wicked Symphony,2010-4-25,3481228800
Steelwing,Lord of the Wasteland,2010-4-26,3481315200
Cynic,Re-Traced,2010-5-3,3481920000
Wuthering Heights,Salt,2010-5-9,3482438400
Pain of Salvation,Road Salt pt. 1 – Ivory –,2010-5-11,3482611200
Ragnarok,Collectors of the King,2010-5-17,3483129600
Nevermore,The Obsidian Conspiracy,2010-5-18,3483216000
Stormzone,Death Dealer,2010-5-19,3483302400
Anathema,We’re Here Because We’re Here,2010-5-20,3483388800
Watain,Lawless Darkness,2010-6-2,3484512000
Istapp,Blekinge,2010-6-3,3484598400
Grave,Burial Ground,2010-6-7,3484944000
Witchery,Witchkrieg,2010-6-16,3485721600
Grand Magus,Hammer of the North,2010-6-21,3486153600
Iron Thrones,The Wretched Sun,2010-6-27,3486672000
Amorphis,Forging the Land of Thousand Lakes,2010-7-4,3487276800
Allegaeon,Fragments of Form and Function,2010-7-15,3488227200
Demiurg,Slakthus Gamleby,2010-7-20,3488659200
Heathens,"Oh, Mock the Heavens and Let the Heathens Sing",2010-8-16,3490992000
Accept,Blood of Nations,2010-9-7,3492892800
Winterhorde,Underwatermoon,2010-9-14,3493497600
Spiritual Beggars,Return to Zero,2010-9-15,3493584000
Enslaved,Axioma Ethica Odini,2010-9-16,3493670400
Nightfall,Astron Black and the Thirty Tyrants,2010-9-22,3494188800
Star One,Victims of the Modern Age,2010-10-13,3496003200
Monster Magnet,Mastermind,2010-10-14,3496089600
October Tide,A Thin Shell,2010-11-1,3497644800
Allen/Lande,The Showdown,2010-11-2,3497731200
Melechesh,The Epigenesis,2010-11-9,3498336000
Atlantean Kodex,The Golden Bough,2010-11-16,3498940800
Torture Division,Evighetens Dårar,2010-11-23,3499545600
Fejd,Eifur,2010-12-8,3500841600
Dawnbringer,Nucleus,2010-12-16,3501532800
Ghost,Opus Eponymous,2011-1-2,3503001600
Belphegor,Blood Magick Necromance,2011-1-12,3503865600
Defiled,In Crisis,2011-1-17,3504297600
Helrunar,Sol,2011-1-22,3504729600
Thomas Giles,Pulse,2011-1-25,3504988800
Macabre,Grim Scary Tales,2011-2-2,3505680000
Omnium Gatherum,New World Shadows,2011-2-3,3505766400
Korpiklaani,Ukon Wacka,2011-2-6,3506025600
Svart Crown,Witnessing the Fall,2011-2-8,3506198400
Shroud of Despondency,Dark Meditations in Monastic Seclusion,2011-2-9,3506284800
Moonsorrow,Varjoina Kuljemme Kuolleiden Maassa,2011-2-10,3506371200
Destruction,Day of Reckoning,2011-2-16,3506889600
Turisas,Stand Up and Fight,2011-2-17,3506976000
Before the Dawn,Deathstar Rising,2011-2-20,3507235200
Jag Panzer,The Scourge of the Light,2011-2-27,3507840000
Crimfall,The Writ of Sword,2011-3-8,3508617600
Sylosis,Edge of the Earth,2011-3-9,3508704000
Assaulter,Boundless,2011-3-10,3508790400
Amon Amarth,Surtur Rising,2011-3-17,3509395200
Within Temptation,The Unforgiving,2011-3-19,3509568000
Havok,Time is Up,2011-3-20,3509654400
Vicious Rumors,Razorback Killers,2011-3-22,3509827200
Torture Division,Through the Eyes of a Dead,2011-3-28,3510345600
Blood Mortized,Bestial,2011-4-3,3510864000
Septic Flesh,The Great Mass,2011-4-12,3511641600
While Heaven Wept,Fear of Infinity,2011-4-22,3512505600
Bjørnar Selsbak,Rygteflom/Tunge Taarer,2011-4-28,3513024000
Argus,Boldly Stride the Doomed,2011-5-2,3513369600
Bodyfarm,Bodyfarm EP,2011-5-3,3513456000
Hate Eternal,Phoenix Amongst the Ashes,2011-5-9,3513974400
The Book of Mormon,Cast Recording,2011-5-11,3514147200
Autopsy,Macabre Eternal,2011-5-17,3514665600
Anaal Nathrakh,Passion,2011-5-22,3515097600
Tyr,The Lay of Thrym,2011-5-25,3515356800
Falconer,Armod,2011-5-31,3515875200
In Solitude,The World. The Flesh. The Devil.,2011-6-1,3515961600
Loss,Despond,2011-6-2,3516048000
Ulcerate,The Destroyers of All,2011-6-6,3516393600
Rhapsody of Fire,From Chaos to Eternity,2011-6-9,3516652800
The Black Dahlia Murder,Ritual,2011-6-13,3516998400
Rival Sons,Pressure and Time,2011-6-20,3517603200
Draconian,A Rose for the Apocalypse,2011-6-22,3517776000
Necrovorous,Funeral for the Sane,2011-6-27,3518208000
Battle Beast,Steel,2011-7-4,3518812800
Toxic Holocaust,Conjure and Command,2011-7-20,3520195200
Aurvandil,Yearning,2011-7-21,3520281600
Vader,Welcome to the Morbid Reich,2011-7-31,3521145600
Sinister Realm,The Crystal Eye,2011-8-16,3522528000
Arch/Matheos,Sympathetic Resonance,2011-9-5,3524256000
Morbus Chron,Sleepers in the Rift,2011-9-11,3524774400
Pain of Salvation,Road Salt Two [Ebony],2011-9-18,3525379200
Textures,Dualism,2011-9-20,3525552000
Anubis Gate,Anubis Gate,2011-9-20,3525552000
Voyager,The Meaning of I,2011-9-26,3526070400
Insomnium,One for Sorrow,2011-10-17,3527884800
Absu,Abzu,2011-10-30,3529008000
Entrails,The Tomb Awaits,2011-10-31,3529094400
40 Watt Sun,The Inside Room,2011-11-1,3529180800
Hammers of Misfortune,17th Street,2011-11-2,3529267200
Orphaned Land,The Road to OR-Shalem,2011-11-10,3529958400
Riot,Immortal Soul,2011-11-13,3530217600
Stormzone,Zero to Rage,2011-11-15,3530390400
Iron Savior,The Landing,2011-11-20,3530822400
Exhumed,"All Guts, No Glory",2011-11-23,3531081600
Vallenfyre,A Fragile King,2011-12-5,3532118400
Cormorant,Dwellings,2011-12-6,3532204800
Theocracy,As The World Bleeds,2011-12-7,3532291200
Nightwish,Imaginaerum,2011-12-11,3532636800
The Man,Eating Tree – Harvest,2011-12-18,3533241600
Primal Fear,Unbreakable,2012-1-12,3535401600
The 11th Hour,Lacrima Mortis,2012-1-15,3535660800
Zebulon Pike,Space is the Corpse of Time,2012-1-16,3535747200
Dodecahedron,Dodecahedron,2012-2-3,3537302400
Woods of Ypres,Woods 5: Grey Skies & Electric Light,2012-2-9,3537820800
Pallbearer,Sorrow and Extinction,2012-2-14,3538252800
Pharaoh,Bury the Light,2012-2-16,3538425600
Lanfear,This Harmonic Consonance,2012-2-26,3539289600
Asphyx,Deathhammer,2012-2-28,3539462400
Desaster,The Arts of Destruction,2012-3-4,3539894400
Sigh,In Somniphobia,2012-3-5,3539980800
Gorod,A Perfect Absolution,2012-3-21,3541363200
Borknagar,Urd,2012-3-25,3541708800
Anathema,Weather Systems,2012-3-29,3542054400
Inverloch,Dusk | Subside,2012-4-4,3542572800
Black Breath,Sentenced to Life,2012-4-9,3543004800
Huntress,Spell Eater,2012-4-15,3543523200
Wodensthrone,Curse,2012-4-22,3544128000
Kontrust,Second Hand Wonderland,2012-4-30,3544819200
Master’s Hammer,Vracejte Konve Na Misto,2012-5-2,3544992000
Blood Mortized,The Key to a Black Heart,2012-5-6,3545337600
Steel Assassin,WWII: Metal of Honor,2012-5-13,3545942400
